-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  22.8199   Longitude 83.2828 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 630.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
CLOUD_AMT               CERES SYN1deg Cloud Amount (%) 
TOA_SW_DWN              CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,1981,0.52,0.45,0.38,0.23,0.28,0.39,0.79,0.88,0.88,0.79,0.64,0.5,0.56
GWETTOP,1982,0.48,0.48,0.42,0.31,0.34,0.5,0.73,0.91,0.87,0.75,0.64,0.49,0.58
GWETTOP,1983,0.4,0.34,0.17,0.18,0.27,0.34,0.65,0.77,0.84,0.8,0.66,0.52,0.5
GWETTOP,1984,0.48,0.43,0.3,0.19,0.14,0.48,0.76,0.91,0.89,0.76,0.58,0.45,0.53
GWETTOP,1985,0.46,0.39,0.2,0.14,0.2,0.36,0.72,0.83,0.87,0.8,0.67,0.52,0.52
GWETTOP,1986,0.44,0.44,0.38,0.2,0.27,0.36,0.75,0.84,0.77,0.64,0.5,0.45,0.5
GWETTOP,1987,0.42,0.36,0.27,0.12,0.28,0.38,0.63,0.68,0.79,0.71,0.59,0.46,0.48
GWETTOP,1988,0.4,0.32,0.31,0.21,0.23,0.44,0.77,0.85,0.84,0.73,0.54,0.41,0.51
GWETTOP,1989,0.33,0.17,0.15,0.11,0.15,0.46,0.66,0.8,0.81,0.7,0.52,0.42,0.45
GWETTOP,1990,0.38,0.34,0.25,0.2,0.42,0.54,0.82,0.87,0.87,0.86,0.75,0.62,0.58
GWETTOP,1991,0.49,0.37,0.22,0.12,0.08,0.42,0.62,0.86,0.89,0.79,0.66,0.53,0.51
GWETTOP,1992,0.45,0.36,0.19,0.23,0.28,0.37,0.61,0.8,0.85,0.73,0.55,0.44,0.49
GWETTOP,1993,0.36,0.2,0.26,0.23,0.21,0.48,0.77,0.81,0.89,0.85,0.74,0.61,0.54
GWETTOP,1994,0.5,0.41,0.25,0.21,0.2,0.55,0.89,0.94,0.91,0.83,0.71,0.56,0.58
GWETTOP,1995,0.51,0.44,0.41,0.27,0.26,0.31,0.69,0.87,0.89,0.8,0.7,0.56,0.56
GWETTOP,1996,0.53,0.44,0.37,0.23,0.17,0.43,0.74,0.89,0.88,0.77,0.61,0.46,0.55
GWETTOP,1997,0.41,0.3,0.16,0.35,0.27,0.39,0.78,0.91,0.89,0.8,0.73,0.73,0.56
GWETTOP,1998,0.69,0.63,0.48,0.36,0.25,0.36,0.72,0.77,0.86,0.83,0.76,0.63,0.61
GWETTOP,1999,0.5,0.4,0.22,0.09,0.25,0.47,0.71,0.87,0.9,0.84,0.73,0.59,0.55
GWETTOP,2000,0.46,0.39,0.23,0.11,0.34,0.5,0.64,0.66,0.69,0.52,0.38,0.24,0.43
GWETTOP,2001,0.19,0.12,0.24,0.24,0.28,0.54,0.86,0.91,0.86,0.8,0.65,0.5,0.52
GWETTOP,2002,0.44,0.4,0.27,0.23,0.21,0.45,0.58,0.73,0.82,0.71,0.52,0.41,0.48
